Alter;Insg;Männlich;Weiblich
                          1 - 15;-;-;-
                         15 - 20;1;-;1
                         20 - 30;4;3;1
                         30 - 40;13;7;6
                         40 - 50;24;12;12
                         50 - 60;111;65;46
                         60 - 70;198;118;80
                         70 - 80;401;237;164
                         80 u.ä.;858;332;526
4       Weser-Ems                ;;;
                         Insgesamt;27458;13608;13850
                         u. 1 Jahr;91;54;37
                          1 - 15;29;16;13
                         15 - 20;36;27;9
                         20 - 30;110;77;33
                         30 - 40;213;146;67
                         40 - 50;525;327;198
                         50 - 60;1763;1096;667
                         60 - 70;3316;2096;1220
                         70 - 80;6368;3831;2537
                         80 u.ä.;15007;5938;9069
401     Delmenhorst,Stadt        ;;;
                         Insgesamt;871;436;435
                         u. 1 Jahr;5;3;2
                          1 - 15;1;-;1
                         15 - 20;-;-;-
                         20 - 30;2;1;1
                         30 - 40;9;7;2
                         40 - 50;16;10;6
                         50 - 60;63;36;27
                         60 - 70;127;77;50
                         70 - 80;221;136;85
                         80 u.ä.;427;166;261
402     Emden,Stadt              ;;;
                         Insgesamt;630;326;304
                         u. 1 Jahr;3;2;1
                          1 - 15;-;-;-
                         15 - 20;1;1;-
                         20 - 30;3;2;1
                         30 - 40;5;5;-
                         40 - 50;13;10;3
                         50 - 60;45;24;21
                         60 - 70;98;65;33
                         70 - 80;140;81;59
                         80 u.ä.;322;136;186
403     Oldenburg(Oldb),Stadt    ;;;
                         Insgesamt;1723;836;887
                         u. 1 Jahr;9;3;6
                          1 - 15;1;-;1
                         15 - 20;-;-;-
                         20 - 30;7;4;3
                         30 - 40;19;13;6
                         40 - 50;29;17;12
                         50 - 60;107;60;47
                         60 - 70;210;131;79
                         70 - 80;437;251;186
                         80 u.ä.;904;357;547
404     Osnabrück,Stadt          ;;;
                         Insgesamt;1597;737;860
                         u. 1 Jahr;3;2;1
                          1 - 15;3;2;1
                         15 - 20;1;1;-
                         20 - 30;3;1;2
                         30 - 40;19;10;9
                         40 - 50;30;20;10
                         50 - 60;94;56;38
                         60 - 70;165;97;68
                         70 - 80;363;200;163
                         80 u.ä.;916;348;568
405     Wilhelmshaven,Stadt      ;;;
                         Insgesamt;1186;597;589
                         u. 1 Jahr;1;-;1
                          1 - 15;-;-;-
                         15 - 20;-;-;-
                         20 - 30;1;1;-
                         30 - 40;10;5;5
                         40 - 50;18;9;9
                         50 - 60;92;57;35
                         60 - 70;170;115;55
                         70 - 80;277;159;118
                         80 u.ä.;617;251;366
451     Ammerland                ;;;
                         Insgesamt;1304;657;647
                         u. 1 Jahr;3;2;1
                          1 - 15;3;2;1
                         15 - 20;2;1;1
                         20 - 30;12;9;3
                         30 - 40;9;7;2
                         40 - 50;18;11;7
                         50 - 60;75;45;30
                         60 - 70;135;79;56
                         70 - 80;319;187;132
                         80 u.ä.;728;314;414
452     Aurich                   ;;;
                         Insgesamt;2442;1211;1231
                         u. 1 Jahr;7;3;4
                          1 - 15;2;1;1
                         15 - 20;6;6;-
                         20 - 30;9;7;2
                         30 - 40;16;6;10
                         40 - 50;49;29;20
                         50 - 60;170;106;64
                         60 - 70;323;206;117
                         70 - 80;589;359;230
                         80 u.ä.;1271;488;783
453     Cloppenburg              ;;;
                         Insgesamt;1608;789;819
                         u. 1 Jahr;7;3;4
                          1 - 15;-;-;-
                         15 - 20;4;1;3
                         20 - 30;10;6;4
                         30 - 40;14;10;4
                         40 - 50;32;20;12
                         50 - 60;112;69;43
                         60 - 70;186;123;63
                         70 - 80;348;206;142
                         80 u.ä.;895;351;544
454     Emsland                  ;;;
                         Insgesamt;3210;1587;1623
                         u. 1 Jahr;7;6;1
                          1 - 15;1;-;1
                         15 - 20;8;6;2
                         20 - 30;12;9;3
                         30 - 40;26;22;4
                         40 - 50;82;57;25
                         50 - 60;225;144;81
                         60 - 70;396;235;161
                         70 - 80;740;454;286
                         80 u.ä.;1713;654;1059
455     Friesland                ;;;
                         Insgesamt;1226;644;582
                         u. 1 Jahr;4;3;1
                          1 - 15;2;2;-
                         15 - 20;-;-;-
                         20 - 30;3;2;1
                         30 - 40;5;3;2
                         40 - 50;24;15;9
                         50 - 60;81;53;28
                         60 - 70;123;76;47
                         70 - 80;299;190;109
                         80 u.ä.;685;300;385
456     Grafschaft Bentheim      ;;;
                         Insgesamt;1464;714;750
                         u. 1 Jahr;2;1;1
                          1 - 15;3;3;-
                         15 - 20;2;1;1
                         20 - 30;6;5;1
                         30 - 40;14;9;5
                         40 - 50;27;15;12
                         50 - 60;73;45;28
                         60 - 70;186;118;68
                         70 - 80;335;198;137
                         80 u.ä.;816;319;497
457     Leer                     ;;;
                         Insgesamt;1953;974;979
                         u. 1 Jahr;9;6;3
                          1 - 15;1;-;1
                         15 - 20;2;1;1
                         20 - 30;6;3;3
                         30 - 40;10;8;2
                         40 - 50;45;20;25
                         50 - 60;123;79;44
                         60 - 70;274;181;93
                         70 - 80;471;287;184
                         80 u.ä.;1012;389;623
458     Oldenburg                ;;;
                         Insgesamt;1439;737;702
                         u. 1 Jahr;5;4;1
                          1 - 15;4;4;-
                         15 - 20;1;1;-
                         20 - 30;4;2;2
                         30 - 40;6;3;3
                         40 - 50;26;15;11
                         50 - 60;89;57;32
                         60 - 70;164;105;59
                         70 - 80;342;216;126
                         80 u.ä.;798;330;468
459     Osnabrück                ;;;
                         Insgesamt;3762;1861;1901
                         u. 1 Jahr;12;8;4
                          1 - 15;3;-;3
                         15 - 20;6;5;1
