Kreise;Insgesamt;Männlich;Weiblich
0       Niedersachsen            ;;;
 ;;;
            35 - 36;1239;617;622
            36 - 37;1319;644;675
            37 - 38;1275;621;654
            38 - 39;1254;582;672
            39 - 40;1265;619;646
            40 - 41;1246;606;640
            41 - 42;1210;598;612
            42 - 43;1271;583;688
            43 - 44;1341;686;655
            44 - 45;1297;641;656
            45 - 46;1436;677;759
            46 - 47;1640;805;835
            47 - 48;1749;888;861
            48 - 49;1981;960;1021
            49 - 50;2144;1096;1048
            50 - 51;2201;1101;1100
            51 - 52;2135;1005;1130
            52 - 53;2178;1103;1075
            53 - 54;2187;1087;1100
            54 - 55;2132;1061;1071
            55 - 56;1947;978;969
            56 - 57;1996;1012;984
            57 - 58;1925;931;994
            58 - 59;1800;907;893
            59 - 60;1705;857;848
            60 - 61;1599;802;797
            61 - 62;1602;806;796
            62 - 63;1465;718;747
            63 - 64;1451;693;758
            64 - 65;1377;660;717
            65 - 66;1400;647;753
            66 - 67;1474;724;750
            67 - 68;1461;719;742
            68 - 69;1435;682;753
            69 - 70;1347;647;700
            70 - 71;1258;620;638
            71 - 72;1212;596;616
            72 - 73;945;433;512
            73 - 74;1134;513;621
            74 - 75;1269;611;658
            75 - 76;1193;545;648
            76 - 77;1377;622;755
            77 - 78;1378;647;731
            78 - 79;1348;623;725
            79 - 80;1171;528;643
            80 - 81;1044;453;591
            81 - 82;954;407;547
            82 - 83;888;401;487
            83 - 84;661;280;381
            84 - 85;488;189;299
            85 - 86;439;156;283
            86 - 87;421;163;258
            87 - 88;400;151;249
            88 - 89;316;103;213
            89 - 90;293;90;203
            90 - 91;224;70;154
            91 - 92;187;57;130
            92 - 93;146;35;111
            93 - 94;104;27;77
            94 - 95;83;17;66
            95 - 96;79;12;67
            96 - 97;54;7;47
            97 - 98;36;4;32
            98 - 99;20;1;19
            99 - 100;13;3;10
            100 und älter;26;7;19
357     Rotenburg (Wümme)        ;;;
 ;;;
            Insgesamt;163377;82180;81197
 ;;;
             0 -  1;1430;732;698
             1 -  2;1424;703;721
             2 -  3;1419;726;693
             3 -  4;1478;791;687
             4 -  5;1329;679;650
             5 -  6;1359;716;643
             6 -  7;1354;691;663
             7 -  8;1471;740;731
             8 -  9;1486;776;710
             9 - 10;1487;734;753
            10 - 11;1589;809;780
            11 - 12;1561;818;743
            12 - 13;1570;824;746
            13 - 14;1723;922;801
            14 - 15;1710;872;838
            15 - 16;1784;952;832
            16 - 17;2010;1030;980
            17 - 18;1992;1060;932
            18 - 19;1956;1010;946
            19 - 20;2003;1077;926
            20 - 21;2046;1118;928
            21 - 22;1771;981;790
            22 - 23;1760;998;762
            23 - 24;1786;987;799
            24 - 25;1797;959;838
            25 - 26;1820;1030;790
            26 - 27;1777;971;806
            27 - 28;1852;1033;819
            28 - 29;1837;1018;819
            29 - 30;1894;1046;848
            30 - 31;1960;1028;932
            31 - 32;1822;961;861
            32 - 33;1845;992;853
            33 - 34;1791;913;878
            34 - 35;1725;830;895
            35 - 36;1832;932;900
            36 - 37;1783;904;879
            37 - 38;1901;933;968
            38 - 39;1823;941;882
            39 - 40;1775;934;841
            40 - 41;1786;912;874
            41 - 42;1756;890;866
            42 - 43;1862;945;917
            43 - 44;1865;946;919
            44 - 45;1938;955;983
            45 - 46;2150;1061;1089
            46 - 47;2429;1230;1199
            47 - 48;2467;1218;1249
            48 - 49;2751;1349;1402
            49 - 50;2810;1420;1390
            50 - 51;3014;1469;1545
            51 - 52;2989;1541;1448
            52 - 53;2923;1514;1409
            53 - 54;2907;1532;1375
            54 - 55;2986;1525;1461
            55 - 56;2848;1441;1407
            56 - 57;2798;1422;1376
            57 - 58;2604;1311;1293
            58 - 59;2551;1270;1281
            59 - 60;2422;1163;1259
            60 - 61;2230;1111;1119
            61 - 62;2250;1135;1115
            62 - 63;2083;1061;1022
            63 - 64;2130;1034;1096
            64 - 65;1972;966;1006
            65 - 66;2057;1013;1044
            66 - 67;1991;956;1035
            67 - 68;1926;946;980
            68 - 69;1953;1035;918
            69 - 70;1746;871;875
            70 - 71;1599;798;801
            71 - 72;1412;687;725
            72 - 73;1088;546;542
            73 - 74;1451;722;729
            74 - 75;1457;733;724
            75 - 76;1359;641;718
            76 - 77;1671;805;866
            77 - 78;1801;836;965
            78 - 79;1685;763;922
            79 - 80;1560;679;881
            80 - 81;1348;623;725
            81 - 82;1193;554;639
            82 - 83;1078;461;617
            83 - 84;983;383;600
            84 - 85;682;249;433
            85 - 86;644;259;385
            86 - 87;592;223;369
            87 - 88;541;199;342
            88 - 89;455;154;301
            89 - 90;420;130;290
            90 - 91;328;93;235
            91 - 92;271;77;194
            92 - 93;237;55;182
            93 - 94;161;22;139
            94 - 95;134;23;111
            95 - 96;115;17;98
            96 - 97;72;18;54
            97 - 98;47;7;40
            98 - 99;27;5;22
            99 - 100;11;2;9
            100 und älter;29;3;26
358     Heidekreis               ;;;
 ;;;
            Insgesamt;139099;69426;69673
 ;;;
             0 -  1;1182;602;580
             1 -  2;1203;642;561
             2 -  3;1287;707;580
             3 -  4;1214;630;584
             4 -  5;1246;655;591
             5 -  6;1194;613;581
             6 -  7;1148;628;520
             7 -  8;1271;670;601
             8 -  9;1260;650;610
             9 - 10;1239;635;604
            10 - 11;1239;663;576
            11 - 12;1317;711;606
            12 - 13;1311;666;645
            13 - 14;1360;696;664
            14 - 15;1413;753;660
            15 - 16;1453;748;705
            16 - 17;1465;752;713
            17 - 18;1624;842;782
            18 - 19;1633;858;775
            19 - 20;1566;856;710
            20 - 21;1592;861;731
            21 - 22;1537;841;696
            22 - 23;1482;828;654
            23 - 24;1445;830;615
            24 - 25;1506;858;648
            25 - 26;1556;838;718
            26 - 27;1540;854;686
            27 - 28;1755;1000;755
            28 - 29;1522;850;672
            29 - 30;1617;885;732
            30 - 31;1662;876;786
            31 - 32;1541;798;743
            32 - 33;1592;798;794
            33 - 34;1433;773;660
            34 - 35;1563;784;779
            35 - 36;1457;748;709
            36 - 37;1501;745;756
            37 - 38;1598;796;802
            38 - 39;1496;755;741
            39 - 40;1441;700;741
            40 - 41;1603;761;842
            41 - 42;1537;807;730
            42 - 43;1399;742;657
            43 - 44;1554;764;790
            44 - 45;1526;743;783
            45 - 46;1645;823;822
            46 - 47;2036;1029;1007
            47 - 48;2064;1016;1048
            48 - 49;2249;1119;1130
            49 - 50;2348;1182;1166
            50 - 51;2391;1187;1204
            51 - 52;2405;1206;1199
            52 - 53;2436;1175;1261
            53 - 54;2563;1289;1274
            54 - 55;2388;1213;1175
            55 - 56;2391;1176;1215
            56 - 57;2357;1178;1179
            57 - 58;2315;1148;1167
            58 - 59;2229;1152;1077
            59 - 60;1994;960;1034
            60 - 61;2039;1038;1001
            61 - 62;1891;927;964
            62 - 63;1789;881;908
            63 - 64;1773;847;926
            64 - 65;1712;844;868
            65 - 66;1702;866;836
            66 - 67;1675;838;837
            67 - 68;1648;819;829
            68 - 69;1613;810;803
            69 - 70;1502;737;765
            70 - 71;1348;676;672
            71 - 72;1184;546;638
            72 - 73;966;439;527
            73 - 74;1303;604;699
            74 - 75;1426;666;760
            75 - 76;1328;635;693
            76 - 77;1568;733;835
            77 - 78;1557;690;867
            78 - 79;1488;647;841
            79 - 80;1468;665;803
            80 - 81;1314;601;713
            81 - 82;1205;496;709
            82 - 83;1004;398;606
            83 - 84;946;379;567
            84 - 85;676;261;415
            85 - 86;647;246;401
            86 - 87;555;197;358
            87 - 88;538;196;342
            88 - 89;478;146;332
            89 - 90;404;143;261
            90 - 91;357;120;237
            91 - 92;268;87;181
            92 - 93;225;64;161
            93 - 94;163;24;139
            94 - 95;144;43;101
            95 - 96;99;22;77
            96 - 97;81;15;66
            97 - 98;55;7;48
            98 - 99;33;5;28
            99 - 100;15;2;13
            100 und älter;21;1;20
359     Stade                    ;;;
 ;;;
            Insgesamt;201887;100430;101457
 ;;;
             0 -  1;1928;1005;923
             1 -  2;2019;1058;961
             2 -  3;1931;1002;929
             3 -  4;1853;946;907
             4 -  5;1916;987;929
             5 -  6;1822;963;859
             6 -  7;1843;965;878
             7 -  8;1982;1076;906
             8 -  9;1894;985;909
             9 - 10;1916;987;929
            10 - 11;1870;993;877
            11 - 12;1941;985;956
            12 - 13;1879;938;941
            13 - 14;2039;1039;1000
            14 - 15;2080;1018;1062
            15 - 16;2100;1087;1013
            16 - 17;2209;1096;1113
            17 - 18;2381;1240;1141
            18 - 19;2344;1199;1145
            19 - 20;2332;1194;1138
            20 - 21;2246;1197;1049
            21 - 22;2187;1195;992
            22 - 23;2213;1228;985
            23 - 24;2136;1111;1025
            24 - 25;2153;1154;999
            25 - 26;2121;1154;967
            26 - 27;2287;1228;1059
            27 - 28;2246;1221;1025
            28 - 29;2429;1273;1156
            29 - 30;2400;1218;1182
            30 - 31;2331;1246;1085
            31 - 32;2416;1252;1164
            32 - 33;2263;1146;1117
            33 - 34;2311;1157;1154
            34 - 35;2267;1165;1102
            35 - 36;2421;1242;1179
            36 - 37;2379;1195;1184
            37 - 38;2393;1140;1253
            38 - 39;2333;1211;1122
            39 - 40;2377;1167;1210
            40 - 41;2428;1225;1203
            41 - 42;2328;1167;1161
            42 - 43;2322;1191;1131
            43 - 44;2438;1207;1231
            44 - 45;2453;1179;1274
            45 - 46;2676;1404;1272
            46 - 47;2821;1440;1381
            47 - 48;2946;1505;1441
            48 - 49;3185;1606;1579
            49 - 50;3368;1672;1696
            50 - 51;3638;1869;1769
            51 - 52;3552;1809;1743
            52 - 53;3388;1709;1679
            53 - 54;3586;1771;1815
            54 - 55;3437;1763;1674
            55 - 56;3323;1678;1645
            56 - 57;3307;1645;1662
            57 - 58;3202;1590;1612
            58 - 59;3000;1537;1463
            59 - 60;2784;1395;1389
            60 - 61;2787;1385;1402
            61 - 62;2537;1276;1261
            62 - 63;2464;1148;1316
            63 - 64;2448;1170;1278
            64 - 65;2442;1170;1272
            65 - 66;2408;1166;1242
            66 - 67;2415;1149;1266
            67 - 68;2413;1144;1269
            68 - 69;2296;1141;1155
            69 - 70;2287;1130;1157
            70 - 71;2021;956;1065
            71 - 72;1937;910;1027
            72 - 73;1454;681;773
            73 - 74;1933;911;1022
            74 - 75;1940;913;1027
            75 - 76;1844;833;1011
            76 - 77;2214;1071;1143
            77 - 78;2274;1086;1188
            78 - 79;2064;975;1089
            79 - 80;2057;929;1128
            80 - 81;1721;754;967
            81 - 82;1528;659;869
            82 - 83;1344;575;769
            83 - 84;1109;476;633
            84 - 85;852;340;512
            85 - 86;764;263;501
            86 - 87;694;236;458
            87 - 88;657;230;427
            88 - 89;525;179;346
            89 - 90;478;162;316
            90 - 91;377;111;266
            91 - 92;342;96;246
            92 - 93;250;49;201
            93 - 94;189;38;151
            94 - 95;128;37;91
            95 - 96;117;18;99
            96 - 97;81;15;66
            97 - 98;54;10;44
            98 - 99;41;4;37
            99 - 100;7;2;5
            100 und älter;24;7;17
360     Uelzen                   ;;;
 ;;;
            Insgesamt;92744;45361;47383
 ;;;
             0 -  1;705;357;348
             1 -  2;711;354;357
             2 -  3;701;353;348
             3 -  4;753;394;359
             4 -  5;697;359;338
             5 -  6;712;351;361
             6 -  7;701;351;350
             7 -  8;749;384;365
             8 -  9;733;388;345
             9 - 10;763;380;383
            10 - 11;805;396;409
            11 - 12;823;443;380
            12 - 13;830;426;404
            13 - 14;911;482;429
            14 - 15;840;436;404
            15 - 16;890;428;462
            16 - 17;932;472;460
            17 - 18;996;534;462
            18 - 19;1013;568;445
            19 - 20;939;453;486
            20 - 21;998;524;474
            21 - 22;997;515;482
            22 - 23;951;499;452
            23 - 24;943;496;447
            24 - 25;921;524;397
            25 - 26;897;462;435
            26 - 27;871;435;436
            27 - 28;1000;513;487
            28 - 29;943;515;428
            29 - 30;969;536;433
            30 - 31;969;490;479
            31 - 32;922;477;445
            32 - 33;895;474;421
            33 - 34;854;445;409
            34 - 35;912;475;437
            35 - 36;838;420;418
            36 - 37;941;466;475
            37 - 38;949;476;473
            38 - 39;961;451;510
            39 - 40;922;464;458
            40 - 41;1002;494;508
            41 - 42;1037;520;517
            42 - 43;963;474;489
            43 - 44;1068;500;568
            44 - 45;1067;516;551
            45 - 46;1199;581;618
            46 - 47;1290;657;633
            47 - 48;1347;650;697
            48 - 49;1509;751;758
            49 - 50;1534;744;790
            50 - 51;1638;845;793
            51 - 52;1613;793;820
            52 - 53;1698;851;847
            53 - 54;1666;833;833
            54 - 55;1710;837;873
            55 - 56;1640;825;815
            56 - 57;1639;853;786
            57 - 58;1532;752;780
            58 - 59;1593;778;815
            59 - 60;1411;706;705
            60 - 61;1392;681;711
            61 - 62;1351;666;685
            62 - 63;1253;595;658
            63 - 64;1311;656;655
            64 - 65;1235;601;634
            65 - 66;1257;616;641
            66 - 67;1219;589;630
            67 - 68;1254;637;617
            68 - 69;1191;573;618
            69 - 70;1061;538;523
            70 - 71;937;429;508
            71 - 72;824;385;439
            72 - 73;696;323;373
            73 - 74;974;457;517
            74 - 75;1009;464;545
            75 - 76;968;453;515
            76 - 77;1199;548;651
            77 - 78;1250;548;702
            78 - 79;1185;526;659
            79 - 80;1127;495;632
            80 - 81;1016;429;587
            81 - 82;885;368;517
            82 - 83;840;380;460
            83 - 84;686;276;410
            84 - 85;511;202;309
            85 - 86;449;163;286
            86 - 87;447;160;287
            87 - 88;433;156;277
            88 - 89;337;115;222
            89 - 90;287;91;196
            90 - 91;269;80;189
            91 - 92;211;65;146
            92 - 93;174;59;115
            93 - 94;138;42;96
            94 - 95;95;26;69
            95 - 96;67;9;58
            96 - 97;75;12;63
            97 - 98;51;8;43
            98 - 99;30;7;23
            99 - 100;10;2;8
            100 und älter;27;5;22
361     Verden                   ;;;
 ;;;
            Insgesamt;136590;67173;69417
 ;;;
             0 -  1;1371;659;712
             1 -  2;1338;677;661
             2 -  3;1370;686;684
             3 -  4;1376;726;650
             4 -  5;1318;678;640
             5 -  6;1317;655;662
             6 -  7;1163;596;567
             7 -  8;1354;694;660
             8 -  9;1267;649;618
             9 - 10;1273;651;622
            10 - 11;1260;626;634
            11 - 12;1262;654;608
            12 - 13;1334;657;677
            13 - 14;1289;667;622
            14 - 15;1369;712;657
            15 - 16;1378;699;679
            16 - 17;1480;730;750
            17 - 18;1559;787;772
            18 - 19;1530;802;728
            19 - 20;1521;798;723
            20 - 21;1590;837;753
            21 - 22;1416;768;648
            22 - 23;1372;798;574
            23 - 24;1456;796;660
            24 - 25;1325;708;617
            25 - 26;1389;708;681
            26 - 27;1371;712;659
            27 - 28;1479;799;680
            28 - 29;1413;732;681
            29 - 30;1509;784;725
            30 - 31;1497;753;744
            31 - 32;1470;737;733
            32 - 33;1508;759;749
            33 - 34;1548;763;785
            34 - 35;1500;752;748
            35 - 36;1576;767;809
            36 - 37;1608;784;824
            37 - 38;1542;759;783
            38 - 39;1488;738;750
            39 - 40;1518;744;774
            40 - 41;1481;730;751
            41 - 42;1508;738;770
            42 - 43;1427;735;692
            43 - 44;1569;779;790
            44 - 45;1581;775;806
            45 - 46;1734;864;870
            46 - 47;1993;949;1044
            47 - 48;2032;1023;1009
            48 - 49;2278;1125;1153
            49 - 50;2298;1145;1153
            50 - 51;2390;1214;1176
            51 - 52;2483;1245;1238
            52 - 53;2384;1186;1198
            53 - 54;2394;1190;1204
            54 - 55;2392;1156;1236
            55 - 56;2365;1150;1215
            56 - 57;2253;1105;1148
            57 - 58;2162;1060;1102
            58 - 59;2063;959;1104
            59 - 60;1985;1011;974
            60 - 61;1975;970;1005
            61 - 62;1831;907;924
            62 - 63;1821;874;947
            63 - 64;1745;852;893
            64 - 65;1744;847;897
            65 - 66;1712;854;858
            66 - 67;1722;836;886
            67 - 68;1755;871;884
            68 - 69;1686;805;881
            69 - 70;1613;780;833
            70 - 71;1356;656;700
            71 - 72;1231;615;616
            72 - 73;1031;492;539
            73 - 74;1352;663;689
            74 - 75;1398;651;747
            75 - 76;1265;599;666
            76 - 77;1485;703;782
            77 - 78;1545;738;807
            78 - 79;1464;652;812
            79 - 80;1369;609;760
            80 - 81;1142;541;601
            81 - 82;1047;477;570
            82 - 83;935;423;512
            83 - 84;788;306;482
            84 - 85;537;222;315
            85 - 86;505;170;335
            86 - 87;539;189;350
            87 - 88;487;155;332
            88 - 89;420;132;288
            89 - 90;358;131;227
            90 - 91;263;80;183
            91 - 92;244;66;178
            92 - 93;221;61;160
            93 - 94;138;27;111
            94 - 95;114;23;91
            95 - 96;92;17;75
            96 - 97;68;16;52
            97 - 98;47;7;40
            98 - 99;29;9;20
            99 - 100;15;2;13
            100 und älter;25;5;20
4       Weser-Ems                ;;;
 ;;;
            Insgesamt;2516457;1249558;1266899
 ;;;
             0 -  1;24395;12415;11980
             1 -  2;24388;12464;11924
             2 -  3;23172;12001;11171
             3 -  4;23462;12148;11314
             4 -  5;22318;11468;10850
             5 -  6;22695;11655;11040
             6 -  7;22263;11438;10825
             7 -  8;22861;11692;11169
             8 -  9;22951;11953;10998
             9 - 10;23567;12026;11541
            10 - 11;23467;12240;11227
            11 - 12;23564;12179;11385
            12 - 13;24449;12647;11802
            13 - 14;25440;12923;12517
            14 - 15;25615;13124;12491
            15 - 16;26723;13777;12946
            16 - 17;27915;14445;13470
            17 - 18;29288;15219;14069
            18 - 19;30103;15908;14195
            19 - 20;30492;15902;14590
            20 - 21;31837;16510;15327
            21 - 22;31372;16294;15078
            22 - 23;30351;15872;14479
            23 - 24;30592;16052;14540
            24 - 25;31640;16873;14767
            25 - 26;31401;16459;14942
            26 - 27;31497;16559;14938
            27 - 28;32361;17112;15249
            28 - 29;31568;16555;15013
            29 - 30;31967;16795;15172
            30 - 31;31581;16602;14979
            31 - 32;30593;15904;14689
            32 - 33;28784;14630;14154
            33 - 34;28261;14643;13618
            34 - 35;28837;14701;14136
            35 - 36;28838;14643;14195
            36 - 37;29191;14926;14265
            37 - 38;29361;14830;14531
            38 - 39;28119;14162;13957
            39 - 40;27819;14037;13782
            40 - 41;27962;14229;13733
            41 - 42;28572;14355;14217
            42 - 43;28019;14176;13843
            43 - 44;29017;14426;14591
            44 - 45;29746;14920;14826
            45 - 46;32437;16145;16292
            46 - 47;35700;17840;17860
            47 - 48;37429;18697;18732
            48 - 49;39946;20169;19777
            49 - 50;41497;21045;20452
            50 - 51;42812;21454;21358
            51 - 52;43389;21996;21393
            52 - 53;43363;22025;21338
            53 - 54;43242;21622;21620
            54 - 55;42505;21363;21142
            55 - 56;40752;20352;20400
            56 - 57;40514;20233;20281
            57 - 58;38616;19292;19324
            58 - 59;37178;18528;18650
            59 - 60;35317;17487;17830
            60 - 61;34230;16865;17365
            61 - 62;32661;16121;16540
            62 - 63;31569;15524;16045
            63 - 64;30897;15092;15805
            64 - 65;29645;14500;15145
            65 - 66;30063;14729;15334
            66 - 67;29081;14189;14892
            67 - 68;29154;14239;14915
            68 - 69;28834;14306;14528
            69 - 70;25908;12742;13166
            70 - 71;23608;11468;12140
            71 - 72;22438;10734;11704
            72 - 73;16330;7878;8452
            73 - 74;21733;10231;11502
            74 - 75;21834;10388;11446
            75 - 76;21234;9915;11319
            76 - 77;25171;11611;13560
            77 - 78;26126;11862;14264
            78 - 79;25194;11153;14041
            79 - 80;23203;10200;13003
            80 - 81;20479;8928;11551
            81 - 82;18392;7818;10574
            82 - 83;16761;6803;9958
            83 - 84;14423;5758;8665
            84 - 85;10929;4292;6637
            85 - 86;10259;3894;6365
            86 - 87;9536;3463;6073
            87 - 88;8866;3009;5857
            88 - 89;7240;2416;4824
            89 - 90;6428;2045;4383
            90 - 91;5248;1578;3670
            91 - 92;4159;1141;3018
            92 - 93;3412;795;2617
            93 - 94;2477;560;1917
            94 - 95;1815;396;1419
            95 - 96;1411;302;1109
            96 - 97;1011;202;809
            97 - 98;713;148;565
            98 - 99;362;56;306
            99 - 100;163;18;145
            100 und älter;349;52;297
401     Delmenhorst,Stadt        ;;;
 ;;;
            Insgesamt;77521;38383;39138
 ;;;
             0 -  1;863;434;429
             1 -  2;856;435;421
             2 -  3;782;401;381
             3 -  4;766;379;387
             4 -  5;684;357;327
             5 -  6;687;373;314
             6 -  7;668;338;330
             7 -  8;706;378;328
             8 -  9;658;350;308
             9 - 10;717;372;345
            10 - 11;700;377;323
            11 - 12;718;374;344
            12 - 13;694;367;327
            13 - 14;754;412;342
            14 - 15;749;438;311
            15 - 16;818;429;389
            16 - 17;773;409;364
            17 - 18;838;432;406
            18 - 19;855;422;433
            19 - 20;809;425;384
            20 - 21;866;458;408
            21 - 22;890;472;418
            22 - 23;892;463;429
            23 - 24;883;455;428
            24 - 25;1012;541;471
            25 - 26;925;468;457
            26 - 27;999;535;464
            27 - 28;1026;539;487
            28 - 29;988;518;470
            29 - 30;1008;511;497
            30 - 31;1013;540;473
            31 - 32;959;514;445
            32 - 33;934;482;452
            33 - 34;899;460;439
            34 - 35;843;421;422
            35 - 36;836;429;407
            36 - 37;869;423;446
            37 - 38;885;464;421
            38 - 39;836;381;455
            39 - 40;835;417;418
            40 - 41;934;459;475
            41 - 42;874;419;455
            42 - 43;836;442;394
            43 - 44;891;456;435
            44 - 45;931;465;466
            45 - 46;1006;506;500
            46 - 47;1066;517;549
            47 - 48;1067;517;550
            48 - 49;1145;563;582
            49 - 50;1137;581;556
            50 - 51;1303;644;659
            51 - 52;1348;702;646
            52 - 53;1311;679;632
            53 - 54;1245;607;638
            54 - 55;1263;660;603
            55 - 56;1260;642;618
            56 - 57;1261;664;597
            57 - 58;1144;546;598
            58 - 59;1092;525;567
            59 - 60;1045;506;539
            60 - 61;1064;520;544
            61 - 62;990;481;509
            62 - 63;925;450;475
            63 - 64;970;462;508
            64 - 65;880;412;468
            65 - 66;956;450;506
            66 - 67;948;448;500
            67 - 68;894;427;467
            68 - 69;922;442;480
            69 - 70;928;414;514
            70 - 71;802;375;427
            71 - 72;749;353;396
            72 - 73;592;284;308
            73 - 74;794;393;401
            74 - 75;763;347;416
            75 - 76;752;365;387
            76 - 77;876;398;478
            77 - 78;888;394;494
            78 - 79;860;380;480
            79 - 80;774;341;433
            80 - 81;736;345;391
            81 - 82;629;284;345
            82 - 83;562;236;326
            83 - 84;426;154;272
            84 - 85;322;126;196
            85 - 86;313;116;197
            86 - 87;292;115;177
            87 - 88;270;92;178
            88 - 89;219;75;144
            89 - 90;195;74;121
            90 - 91;144;37;107
            91 - 92;134;35;99
            92 - 93;98;21;77
            93 - 94;59;15;44
            94 - 95;35;6;29
            95 - 96;34;9;25
            96 - 97;17;6;11
            97 - 98;30;7;23
            98 - 99;10;-;10
            99 - 100;3;-;3
            100 und älter;14;1;13
402     Emden,Stadt              ;;;
 ;;;
            Insgesamt;50607;25339;25268
 ;;;
             0 -  1;477;264;213
             1 -  2;520;263;257
             2 -  3;476;252;224
             3 -  4;463;261;202
             4 -  5;432;222;210
             5 -  6;470;229;241
             6 -  7;408;214;194
             7 -  8;481;254;227
             8 -  9;437;229;208
             9 - 10;435;208;227
            10 - 11;434;249;185
            11 - 12;462;246;216
            12 - 13;433;226;207
            13 - 14;510;252;258
            14 - 15;469;226;243
            15 - 16;464;241;223
            16 - 17;509;265;244
            17 - 18;574;286;288
            18 - 19;580;311;269
            19 - 20;629;311;318
            20 - 21;668;346;322
            21 - 22;716;368;348
            22 - 23;734;373;361
            23 - 24;735;386;349
            24 - 25;735;421;314
            25 - 26;750;425;325
            26 - 27;759;395;364
            27 - 28;765;406;359
            28 - 29;707;368;339
            29 - 30;668;372;296
            30 - 31;679;357;322
            31 - 32;625;344;281
            32 - 33;605;322;283
            33 - 34;591;315;276
            34 - 35;587;287;300
            35 - 36;616;326;290
            36 - 37;602;321;281
            37 - 38;597;297;300
            38 - 39;597;312;285
            39 - 40;572;282;290
            40 - 41;536;281;255
            41 - 42;568;316;252
            42 - 43;510;248;262
            43 - 44;536;274;262
            44 - 45;586;308;278
            45 - 46;645;319;326
            46 - 47;679;372;307
            47 - 48;758;375;383
            48 - 49;820;408;412
            49 - 50;814;415;399
            50 - 51;814;419;395
            51 - 52;812;457;355
            52 - 53;765;383;382
            53 - 54;845;424;421
            54 - 55;802;408;394
            55 - 56;718;365;353
            56 - 57;719;359;360
            57 - 58;711;365;346
            58 - 59;670;333;337
            59 - 60;640;336;304
            60 - 61;672;328;344
            61 - 62;588;293;295
            62 - 63;584;283;301
            63 - 64;619;307;312
            64 - 65;586;280;306
            65 - 66;624;293;331
            66 - 67;557;264;293
            67 - 68;594;297;297
            68 - 69;610;301;309
            69 - 70;583;273;310
            70 - 71;461;237;224
            71 - 72;542;244;298
            72 - 73;361;181;180
            73 - 74;472;212;260
            74 - 75;420;198;222
            75 - 76;422;179;243
            76 - 77;528;233;295
            77 - 78;488;223;265
            78 - 79;494;209;285
            79 - 80;469;198;271
            80 - 81;421;187;234
            81 - 82;397;165;232
            82 - 83;346;142;204
            83 - 84;308;116;192
            84 - 85;226;87;139
            85 - 86;211;77;134
            86 - 87;200;63;137
            87 - 88;170;57;113
            88 - 89;176;63;113
            89 - 90;127;40;87
            90 - 91;113;36;77
            91 - 92;89;26;63
            92 - 93;76;18;58
            93 - 94;53;8;45
            94 - 95;38;8;30
            95 - 96;31;7;24
            96 - 97;6;2;4
            97 - 98;16;6;10
            98 - 99;7;1;6
            99 - 100;-;-;-
            100 und älter;3;-;3
403     Oldenburg(Oldb),Stadt    ;;;
 ;;;
            Insgesamt;167081;79833;87248
 ;;;
             0 -  1;1589;798;791
             1 -  2;1500;748;752
             2 -  3;1456;754;702
             3 -  4;1503;790;713
             4 -  5;1413;732;681
             5 -  6;1411;719;692
             6 -  7;1358;670;688
             7 -  8;1344;667;677
             8 -  9;1403;734;669
             9 - 10;1389;693;696
            10 - 11;1377;685;692
            11 - 12;1403;711;692
            12 - 13;1401;711;690
            13 - 14;1418;722;696
            14 - 15;1418;730;688
            15 - 16;1465;736;729
            16 - 17;1527;788;739
            17 - 18;1658;875;783
            18 - 19;1720;866;854
            19 - 20;2008;980;1028
            20 - 21;2401;1120;1281
            21 - 22;2426;1118;1308
            22 - 23;2517;1124;1393
            23 - 24;2621;1234;1387
            24 - 25;2869;1406;1463
            25 - 26;2842;1354;1488
            26 - 27;2927;1379;1548
            27 - 28;3012;1493;1519
            28 - 29;2902;1467;1435
            29 - 30;2937;1421;1516
            30 - 31;2759;1430;1329
            31 - 32;2564;1285;1279
            32 - 33;2361;1134;1227
            33 - 34;2342;1154;1188
            34 - 35;2187;1071;1116
            35 - 36;2189;1093;1096
            36 - 37;2111;1073;1038
            37 - 38;2119;1006;1113
            38 - 39;2010;999;1011
            39 - 40;1910;945;965
            40 - 41;1912;963;949
            41 - 42;1948;945;1003
            42 - 43;1882;895;987
            43 - 44;1829;835;994
            44 - 45;1847;927;920
            45 - 46;1994;962;1032
            46 - 47;2233;1106;1127
            47 - 48;2292;1109;1183
            48 - 49;2520;1256;1264
            49 - 50;2655;1294;1361
            50 - 51;2729;1362;1367
            51 - 52;2722;1292;1430
            52 - 53;2654;1289;1365
            53 - 54;2604;1220;1384
            54 - 55;2551;1204;1347
            55 - 56;2524;1186;1338
            56 - 57;2428;1160;1268
            57 - 58;2394;1147;1247
            58 - 59;2270;1101;1169
            59 - 60;2082;1011;1071
            60 - 61;2082;1018;1064
            61 - 62;1989;913;1076
            62 - 63;1978;959;1019
            63 - 64;1853;851;1002
            64 - 65;1777;840;937
            65 - 66;1792;838;954
            66 - 67;1700;806;894
            67 - 68;1734;819;915
            68 - 69;1703;813;890
            69 - 70;1612;762;850
            70 - 71;1507;691;816
            71 - 72;1384;613;771
            72 - 73;1031;485;546
            73 - 74;1390;653;737
            74 - 75;1417;637;780
            75 - 76;1381;634;747
            76 - 77;1624;717;907
            77 - 78;1603;703;900
            78 - 79;1500;682;818
            79 - 80;1398;592;806
            80 - 81;1239;486;753
