Kreise;Insgesamt;Männlich;Weiblich
0       Niedersachsen            ;;;
 ;;;
            28 - 29;1351;701;650
            29 - 30;1386;715;671
            30 - 31;1292;698;594
            31 - 32;1317;690;627
            32 - 33;1289;665;624
            33 - 34;1235;637;598
            34 - 35;1323;658;665
            35 - 36;1298;654;644
            36 - 37;1420;705;715
            37 - 38;1433;702;731
            38 - 39;1284;624;660
            39 - 40;1359;684;675
            40 - 41;1310;676;634
            41 - 42;1402;669;733
            42 - 43;1384;685;699
            43 - 44;1362;694;668
            44 - 45;1501;774;727
            45 - 46;1589;812;777
            46 - 47;1824;895;929
            47 - 48;1930;949;981
            48 - 49;2116;1018;1098
            49 - 50;2228;1094;1134
            50 - 51;2322;1138;1184
            51 - 52;2385;1199;1186
            52 - 53;2353;1154;1199
            53 - 54;2358;1192;1166
            54 - 55;2449;1197;1252
            55 - 56;2480;1231;1249
            56 - 57;2423;1199;1224
            57 - 58;2318;1166;1152
            58 - 59;2318;1179;1139
            59 - 60;2104;1087;1017
            60 - 61;2096;1091;1005
            61 - 62;2084;1061;1023
            62 - 63;1933;1015;918
            63 - 64;1829;901;928
            64 - 65;1846;881;965
            65 - 66;1888;922;966
            66 - 67;1856;916;940
            67 - 68;1853;942;911
            68 - 69;1778;892;886
            69 - 70;1602;800;802
            70 - 71;1428;741;687
            71 - 72;1273;671;602
            72 - 73;956;459;497
            73 - 74;1337;621;716
            74 - 75;1311;610;701
            75 - 76;1300;609;691
            76 - 77;1644;743;901
            77 - 78;1693;733;960
            78 - 79;1730;751;979
            79 - 80;1540;653;887
            80 - 81;1377;604;773
            81 - 82;1299;561;738
            82 - 83;1167;475;692
            83 - 84;1098;452;646
            84 - 85;771;304;467
            85 - 86;717;261;456
            86 - 87;647;246;401
            87 - 88;612;215;397
            88 - 89;548;189;359
            89 - 90;458;158;300
            90 - 91;424;119;305
            91 - 92;345;91;254
            92 - 93;272;69;203
            93 - 94;197;41;156
            94 - 95;159;41;118
            95 - 96;113;33;80
            96 - 97;77;11;66
            97 - 98;63;12;51
            98 - 99;23;4;19
            99 - 100;13;3;10
            100 und älter;27;3;24
157     Peine                    ;;;
 ;;;
            Insgesamt;133368;65947;67421
 ;;;
             0 -  1;1239;640;599
             1 -  2;1310;671;639
             2 -  3;1201;601;600
             3 -  4;1315;654;661
             4 -  5;1232;614;618
             5 -  6;1247;660;587
             6 -  7;1180;567;613
             7 -  8;1232;645;587
             8 -  9;1206;619;587
             9 - 10;1309;688;621
            10 - 11;1231;638;593
            11 - 12;1265;641;624
            12 - 13;1290;675;615
            13 - 14;1383;707;676
