kreis,kreisnummer,total,age_under_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_over_80,insgesamt,age_under_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_over_80,SR_under_20,SR_20_30,SR_30_40,SR_40_50,SR_50_60,SR_60_70,SR_70_80,SR_over_80,PopProp_under_20,PopProp_20_30,PopProp_30_40,PopProp_40_50,PopProp_50_60,PopProp_60_70,PopProp_70_80,PopProp_over_80,SMR_under_20,SMR_20_30,SMR_30_40,SMR_40_50,SMR_50_60,SMR_60_70,SMR_70_80,PopProp_over_80,SMR
"Wilhelmshaven,Stadt",405,1186,0,1,10,18,92,170,277,617,76316,12517,11055,7759,8367,11809,9781,9247,5781,0,9.045680687,128.882588,215.1308713,779.0668134,1738.063593,2995.56613,10672.89396,0.16401541,0.144858221,0.101669375,0.109636249,0.154738194,0.128164474,0.121167252,0.075750826,0,1.310341213,13.10341213,23.58614183,120.5513916,222.7580062,362.964516,808.4805283,1552.754337
Ammerland,451,1304,8,12,9,18,75,135,319,728,123377,24366,12461,13323,16565,20588,15670,12930,7474,32.83263564,96.30045743,67.55235307,108.6628433,364.2898776,861.5188258,2467.130704,9740.433503,0.197492239,0.100999376,0.107986091,0.134263274,0.166870649,0.127009086,0.104800733,0.060578552,6.484190732,9.726286099,7.294714574,14.58942915,60.78928812,109.4207186,258.5571055,590.0613567,1056.923089
Aurich,452,2442,15,9,16,49,170,323,589,1271,189949,36344,20972,19925,25325,31576,25867,19062,10878,41.27228703,42.91436201,80.30112923,193.4846989,538.3835825,1248.695249,3089.917113,11684.13311,0.191335569,0.110408583,0.104896578,0.133325261,0.166234094,0.136178658,0.100353253,0.057268004,7.896856525,4.738113915,8.423313626,25.79639798,89.49770728,170.0456438,310.0832329,669.1269762,1285.608242
Cloppenburg,453,1608,0,10,14,32,112,186,348,895,167925,38976,22288,20881,22316,26405,17755,11329,7975,0,44.86719311,67.04659739,143.3948736,424.1620905,1047.592228,3071.762733,11222.57053,0.232103618,0.132725919,0.124347179,0.13289266,0.157242817,0.105731725,0.067464642,0.04749144,0,5.955039452,8.337055233,19.05612625,66.69644186,110.7637338,207.2353729,532.976031,951.0198005
Emsland,454,3210,16,12,26,82,225,396,740,1713,323636,67140,39716,39629,43900,52021,38321,26382,16527,23.83080131,30.21452311,65.60851901,186.7881549,432.5176371,1033.375956,2804.942764,10364.85751,0.207455289,0.122718115,0.122449295,0.13564622,0.160739226,0.118407717,0.081517507,0.05106663,4.94382578,3.707869335,8.033716892,25.33710712,69.52255003,122.359688,228.6519423,529.2983475,991.855047
Friesland,455,1226,0,3,5,24,81,123,299,685,98509,18011,9561,9522,12470,16874,13323,11830,6918,0,31.37747098,52.5099769,192.4619086,480.0284461,923.215492,2527.472527,9901.705695,0.182836086,0.097057122,0.096661219,0.126587418,0.171293993,0.135246526,0.12009055,0.070227086,0,3.045407019,5.075678364,24.36325615,82.2259895,124.8616878,303.5255662,695.3679359,1238.465521
Grafschaft Bentheim,456,1464,7,6,14,27,73,186,335,816,135859,27980,15456,15356,18173,22440,16576,11866,8012,25.01786991,38.81987578,91.16957541,148.5720574,325.311943,1122.104247,2823.192314,10184.72292,0.205948815,0.113765006,0.113028949,0.133763681,0.165171244,0.122008847,0.087340552,0.058972906,5.152400651,4.416343415,10.3048013,19.87354537,53.73217821,136.9066459,246.579174,600.6227044,1077.587793
Leer,457,1953,12,6,10,45,123,274,471,1012,168946,33508,19475,19188,22441,27714,21197,15989,9434,35.81234332,30.80872914,52.11590577,200.5258233,443.8190084,1292.63575,2945.77522,10727.15709,0.198335563,0.115273519,0.113574752,0.132829425,0.164040581,0.125466125,0.094639707,0.055840328,7.102861269,3.551430635,5.919051058,26.63572976,72.80432801,162.181999,278.7873048,599.007967,1155.990672
Vechta,460,1131,13,10,11,21,64,106,248,658,140540,31665,19492,17849,18854,22262,14642,9274,6502,41.05479236,51.30309871,61.62810241,111.3822001,287.4854011,723.9448163,2674.142765,10119.96309,0.22530952,0.13869361,0.127002988,0.134153978,0.158403302,0.104183862,0.065988331,0.046264409,9.250035577,7.115411982,7.826953181,14.94236516,45.53863669,75.42336701,176.4622172,468.1941084,804.7530952
Wesermarsch,461,1173,0,2,5,24,68,150,280,637,89022,16618,9619,8821,11526,15631,11736,9221,5850,0,20.79218214,56.68291577,208.2248829,435.0329473,1278.118609,3036.547012,10888.88889,0.186672957,0.108051942,0.099087866,0.129473613,0.17558581,0.131832581,0.103581137,0.065714093,0,2.246635663,5.616589158,26.95962796,76.38561255,168.4976747,314.5289928,715.5534587,1309.788592
Wittmund,462,739,0,5,3,15,50,104,167,393,56731,10710,5918,5669,7261,9472,7972,6077,3652,0,84.4880027,52.91938614,206.5831153,527.8716216,1304.565981,2748.06648,10761.22673,0.188785673,0.104316864,0.099927729,0.127989988,0.166963389,0.140522818,0.107119564,0.064373975,0,8.81352347,5.288114082,26.44057041,88.1352347,183.3212882,294.3716839,692.7429448,1299.11336
